iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Feb 28, 2018"
Total Net Assets,"174,432,657.41"
Shares Outstanding,"2,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"IPCC","INFINITY PROPERTY AND CASUALTY COR","Equity","0.29","117.95","4,273.00","504,000.35","504,000.35","Financials","2313739","US45665Q1031","NASDAQ"
"EIG","EMPLOYERS HOLDINGS INC","Equity","0.28","39.15","12,407.00","485,734.05","485,734.05","Financials","B1Q1RR9","US2922181043","New York Stock Exchange Inc."
"AFSI","AMTRUST FINANCIAL SERVICES INC","Equity","0.27","11.97","39,347.00","470,983.59","470,983.59","Financials","B1H4YP4","US0323593097","NASDAQ"
"NAVG","NAVIGATORS GROUP INC","Equity","0.27","53.90","8,640.00","465,696.00","465,696.00","Financials","2627850","US6389041020","NASDAQ"
"SAFT","SAFETY INSURANCE GROUP INC","Equity","0.26","71.35","6,281.00","448,149.35","448,149.35","Financials","2958538","US78648T1007","NASDAQ"
"AMSF","AMERISAFE INC","Equity","0.24","56.00","7,542.00","422,352.00","422,352.00","Financials","B0PPHS6","US03071H1005","NASDAQ"
"ANAT","AMERICAN NATIONAL INSURANCE","Equity","0.23","116.90","3,469.00","405,526.10","405,526.10","Financials","2028420","US0285911055","NASDAQ"
"KNSL","KINSALE CAPITAL GROUP INC","Equity","0.23","49.00","8,163.00","399,987.00","399,987.00","Financials","BD1MGQ3","US49714P1084","NASDAQ"
"UVE","UNIVERSAL INSURANCE HOLDINGS INC","Equity","0.22","29.30","13,358.00","391,389.40","391,389.40","Financials","2912374","US91359V1070","New York Stock Exchange Inc."
"NWLI","NATIONAL WESTERN LIFE GROUP INC CL","Equity","0.18","305.00","1,033.00","315,065.00","315,065.00","Financials","BYSPYB3","US6385171029","NASDAQ"
"MBI","MBIA INC","Equity","0.18","7.99","39,341.00","314,334.59","314,334.59","Financials","2547044","US55262C1009","New York Stock Exchange Inc."
"JRVR","JAMES RIVER GROUP HOLDINGS LTD","Equity","0.18","32.71","9,539.00","312,020.69","312,020.69","Financials","BT8RWQ5","BMG5005R1079","NASDAQ"
"FFG","FBL FINANCIAL GROUP INC CLASS A","Equity","0.17","64.90","4,631.00","300,551.90","300,551.90","Financials","2329082","US30239F1066","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.16","1.00","279,374.00","279,374.28","279,374.28","Cash and/or Derivatives","-","US0669224778","-"
"USD","USD CASH","Cash","0.15","100.00","263,539.00","263,538.99","263,538.99","Cash and/or Derivatives","-","-","-"
"TRUP","TRUPANION INC","Equity","0.15","29.63","8,789.00","260,418.07","260,418.07","Financials","BP3YM85","US8982021060","NASDAQ"
"UFCS","UNITED FIRE GROUP INC","Equity","0.14","44.48","5,390.00","239,747.20","239,747.20","Financials","B4WXG84","US9103401082","NASDAQ"
"AMBC","AMBAC FINANCIAL GROUP INC","Equity","0.10","15.15","11,130.00","168,619.50","168,619.50","Financials","B7ZKH46","US0231398845","NASDAQ"
 
